fy,month,values
2023-24,Aug,"[92, 1498, 2, 1270, 94, 2768, 4.9, 1.3, None, 988, 713, 182, 3, 6, 0, 61, 460, 1, 64, 0, 0, 0, 0, 0, 0, 795, 712, 44, 39, 0, 0]"
2023-24,Sep,"[81, 2200, 2, 564, 83, 2764, 5.2, 1.82, None, 130, 712, 281, 331, 0, 0, 0, 100, 0, 495, 0, 0, 0, 0, 0, 0, 1402, 1193, 13, 196, 0, 0]"
2023-24,Oct,"[90, 742, 0, 0, 90, 742, 13.9, 1.98, None, 184, 351, 350, 0, 0, 0, 0, 0, 1, 26, 0, 0, 0, 0, 0, 0, 31, 0, 2, 29, 0, 0]"
2023-24,Nov,"[64, 1146, 0, 0, 64, 1146, 4.5, 1.61, None, 502, 163, 120, 0, 0, 0, 30, 5, 8, 87, 0, 0, 0, 0, 0, 0, 379, 103, 0, 276, 0, 0]"
2023-24,Dec,"[95, 3693, 3, 1450, 98, 5143, 4.9, 1.85, None, 519, 2623, 240, 1963, 0, 0, 0, 420, 0, 58, 750, 0, 0, 750, 0, 0, 1131, 700, 11, 420, 0, 0]"
2023-24,Jan,"[77, 1820, 5, 1270, 82, 3090, 3.7, 1.33, None, 166, 706, 100, 55, 0, 0, 1, 550, 0, 13, 0, 0, 0, 0, 0, 20, 2145, 1437, 0, 708, 0, 0]"
2023-24,Feb,"[104, 2021, 3, 275, 107, 2296, 5.8, 1.77, None, 591, 341, 75, 152, 0, 0, 0, 10, 104, 330, 127, 0, 0, 127, 0, 0, 902, 398, 11, 493, 0, 0]"
2023-24,Mar,"[123, 5762, 8, 1972, 131, 7734, 6.1, 1.73, None, 1730, 2116, 0, 706, 0, 0, 20, 105, 1285, 205, 851, 1, 0, 850, 0, 0, 2704, 1145, 103, 1456, 0, 0]"
2024-25,Apr,"[100, 3891, 1, 394, 101, 4285, 5, 1.32, None, 410, 1814, 43, 380, 0, 0, 46, 550, 795, 18, 0, 0, 0, 0, 0, 0, 1875, 411, 28, 1436, 0, 0]"
2024-25,May,"[108, 3669, 2, 343, 110, 4012, 4.9, 2.05, None, 497, 1366, 0, 434, 0.05, 0, 56, 0, 876, 138, 0, 0, 0, 0, 0, 0, 1424, 555, 52, 817, 0, 0]"
2024-25,Jun,"[121, 1811, 4, 1005, 125, 2816, 5.8, 1.36, None, 603, 808, 0, 745, 27, 0, 17, 19, 0, 37, 19, 19, 0, 0, 0, 0, 1311, 1062, 38, 211, 0, 0]"
2024-25,Jul,"[119, 3581, 0, 0, 119, 3581, 5.2, 1.45, None, 626, 1393, 0, 559, 0, 0, 0, 800, 34, 349, 4, 4, 0, 0, 0, 0, 1195, 0, 16, 1179, 0, 0]"
2024-25,Aug,"[99, 5460, 3, 449, 102, 5909, 4.5, 1.49, None, 1452, 1042, 0, 983, 0, 0, 0, 0, 59, 372, 0, 0, 0, 0, 0, 0, 3009, 773, 18, 2218, 0, 0]"
2024-25,Sep,"[95, 3776, 1, 1065, 96, 4841, 4.4, 1.36, None, 378, 328, 0, 15, 0, 0, 0, 313, 0, 437, 0, 0, 0, 0, 0, 0, 3578, 2777, 31, 770, 0, 0]"
2024-25,Oct,"[135, 5029, 1, 470, 136, 5499, 6.7, 1.58, None, 926, 2941, 200, 1449, 1, 0, 63, 850, 378, 86, 0, 0, 0, 0, 0, 0, 1436, 285, 120, 1031, 0, 0]"
2024-25,Nov,"[82, 1398, 4, 1435, 86, 2833, 5.8, 1.18, None, 1419, 372, 0, 60, 0, 0, 0, 312, 0, 256, 0, 0, 0, 0, 0, 0, 743, 75, 0, 668, 0, 0]"
2024-25,Dec,"[112, 6234, 12, 3309, 124, 9543, 4.5, 1.45, None, 3685, 533, 0, 0, 0, 0, 0, 530, 3, 685, 3, 3, 0, 0, 0, None, 4614, 3042, 0, 1572, 0, 0]"
2024-25,Jan,"[108, 1978, 5, 2020, 113, 3998, 5.8, 1.53, None, 242, 831, 0, 398, 0, 13, 0, 207, 213, 115, 1000, 0, 0, 1000, 0, 0, 1792, 1370, 56, 366, 0, 0]"
2024-25,Feb,"[107, 2627, 1, 197, 108, 2824, 5.4, 1.87, None, 1389, 527, 371, 49, 0, 0, 0, 100, 7, 211, 0, 0, 0, 0, 0, 0, 623, 472, 0, 151, 0, 0]"
2024-25,Mar,"[142, 8346, 17, 2697, 159, 11043, 4.5, 1.39, None, 2273, 3507, 0, 1828, 0, 0, 2, 1675, 2, 522, 0, 0, 0, 0, 0, 0, 4718, 1567, 100, 3051, 0, 0]"
2025-26,Apr,"[119, 1907, 3, 1010, 122, 2917, 4.2, 1.41, None, 817, 48, 0, 0, 0, 0, 45, 0, 3, 337, 8, 8, 0, 0, 0, 0, 1530, 1159, 0, 371, 0, 0]"
2025-26,May,"[100, 2739, 0, 0, 100, 2739, 4.8, 1.46, None, 1201, 717, 0, 0, 0, 0, 1, 305, 411, 242, 0, 0, 0, 0, 0, 0, 566, 0, 86, 480, 0, 0]"
2025-26,Jun,"[112, 2733, 1, 750, 113, 3483, 4.9, 1.7, None, 954, 1819, 5, 155, 0, 0, 7, 0, 1652, 19, 0, 0, 0, 0, 0, 0, 682, 97, 18, 567, 0, 0]"
2025-26,Jul,"[126, 3220, 1, 101, 127, 3321, 5.3, 1.61, None, 299, 1260, 0, 724, 0, 0, 0, 160, 376, 379, 0, 0, 0, 0, 0, 0, 1372, 121, 15, 1236, 0, 0]"
2025-26,Aug,"[96, 2217, 2, 1050, 98, 3267, 5.5, 1.41, None, 207, 698, 26, 198, 0, 0, 0, 470, 4, 498, 0, 0, 0, 0, 0, 0, 1853, 467, 0, 1386, 0, 0]"
2025-26,Sep,"[127, 2393, 1, 406, 128, 2799, 5, 1.27, None, 1097, 377, 215, 3, 0, 0, 0, 100, 59, 273, 0, 0, 0, 0, 0, 0, 1051, 528, 67, 456, 0, 0]"
2025-26,Oct,"[79, 1915, 2, 291, 81, 2206, 5.1, 2.11, None, 762, 418, 0, 243, 0, 0, 0, 175, 0, 150, 0, 0, 0, 0, 0, 0, 831, 191, 0, 640, 0, 0]"
2025-26,Nov,"[106, 2243, 1, 159, 107, 2402, 4.7, 1.56, None, 200, 1479, 0, 283, 0, 0, 48, 950, 198, 179, 0, 0, 0, 0, 0, 0, 541, 147, 89, 305, 0, 0]"
2025-26,Dec,"[129, 3122, 6, 1314, 135, 4436, 4.7, 1.38, None, 821, 757, 275, 176, 0, 0, 0, 300, 6, 541, 354, 4, 0, 350, 0, 0, 1944, 879, 76, 989, 0, 0]"
2025-26,Jan,"[113, 4183, 3, 1152, 116, 5335, 7.6, 1.42, None, 337, 1266, 0, 608, 0, 0, 0, 600, 58, 778, 1000, 0, 0, 1000, 0, 0, 1884, 596, 0, 1288, 0, 0]"
